FALSE,GenreID,ArtistID,ArtistName,TrackID,Title,ShareLink,Duration,Rank,ExplicitLyrics,ExplicitContentLyrics,ExplicitContentCover,Preview,BPM,Gain,ImageLink,danceability,track_genre
FALSE,116,4344192,Gunna,2496770481,His & Hers (feat. Don Toliver & Lil Uzi Vert),https://www.deezer.com/track/2496770481?utm_source=deezer&utm_content=track-2496770481&utm_term=0_1702975246&utm_medium=web,224,504425,FALSE,3,2,https://cdns-preview-2.dzcdn.net/stream/c-2974ff863dc9a1ef2e8507fbd4303d27-1.mp3,0,-8.2,https://e-cdns-images.dzcdn.net/images/artist/ac31c5e8323891887567be6338811938/250x250-000000-80-0-0.jpg,0.492,alt-rock
FALSE,116,4344192,Gunna,2329875185,p angels,https://www.deezer.com/track/2329875185?utm_source=deezer&utm_content=track-2329875185&utm_term=0_1702975246&utm_medium=web,176,460931,TRUE,1,2,https://cdns-preview-d.dzcdn.net/stream/c-db28905de8eeaebe63b57858095ad9a1-2.mp3,0,-9.9,https://e-cdns-images.dzcdn.net/images/artist/f6ae30d19f7e865c79b070de2087bd96/250x250-000000-80-0-0.jpg,0.611,alt-rock
FALSE,116,4344192,Gunna,1948382757,Chocolate,https://www.deezer.com/track/1948382757?utm_source=deezer&utm_content=track-1948382757&utm_term=0_1702975247&utm_medium=web,208,444495,TRUE,1,0,https://cdns-preview-3.dzcdn.net/stream/c-33cb88993b93d3a9a2c886d007bf7806-7.mp3,0,-9.1,https://e-cdns-images.dzcdn.net/images/artist/abf3e0ab862b03a1f6947b56b652e81c/250x250-000000-80-0-0.jpg,0.609,alt-rock
FALSE,116,4344192,Gunna,2329875195,born rich,https://www.deezer.com/track/2329875195?utm_source=deezer&utm_content=track-2329875195&utm_term=0_1702975247&utm_medium=web,172,417892,TRUE,1,2,https://cdns-preview-1.dzcdn.net/stream/c-153c6a34a55b97866bac64108f2c8422-2.mp3,0,-8.4,https://e-cdns-images.dzcdn.net/images/artist/f6ae30d19f7e865c79b070de2087bd96/250x250-000000-80-0-0.jpg,0.674,alt-rock
FALSE,116,4344192,Gunna,1620996912,thought i was playing,https://www.deezer.com/track/1620996912?utm_source=deezer&utm_content=track-1620996912&utm_term=0_1702975247&utm_medium=web,167,434646,TRUE,1,2,https://cdns-preview-7.dzcdn.net/stream/c-75e0b441e983ab50bbad8cdc8ba3aeb0-3.mp3,0,-9.6,https://e-cdns-images.dzcdn.net/images/artist/f6ae30d19f7e865c79b070de2087bd96/250x250-000000-80-0-0.jpg,0.582,alt-rock
FALSE,116,4344192,Gunna,968626592,MET GALA,https://www.deezer.com/track/968626592?utm_source=deezer&utm_content=track-968626592&utm_term=0_1702975248&utm_medium=web,149,428876,TRUE,1,2,https://cdns-preview-5.dzcdn.net/stream/c-5f43579850b46dbd39e7be2068afc315-3.mp3,0,-11,https://e-cdns-images.dzcdn.net/images/artist/f6ae30d19f7e865c79b070de2087bd96/250x250-000000-80-0-0.jpg,0.505,alt-rock
FALSE,116,4344192,Gunna,1160437332,All the Smoke (feat. Gunna & Wiz Khalifa),https://www.deezer.com/track/1160437332?utm_source=deezer&utm_content=track-1160437332&utm_term=0_1702975248&utm_medium=web,211,438513,TRUE,1,2,https://cdns-preview-5.dzcdn.net/stream/c-5098b1710853759cf2a69a0569b34598-3.mp3,0,-5.7,https://e-cdns-images.dzcdn.net/images/artist/866e0c94a814a19a7d13e7753da0bfe5/250x250-000000-80-0-0.jpg,0.505,alt-rock
FALSE,116,4344192,Gunna,1620997002,idk that bitch (feat. G Herbo),https://www.deezer.com/track/1620997002?utm_source=deezer&utm_content=track-1620997002&utm_term=0_1702975249&utm_medium=web,210,443190,TRUE,1,2,https://cdns-preview-c.dzcdn.net/stream/c-c3c1b58b9c087acbc7627b4af44e9786-3.mp3,0,-10.2,https://e-cdns-images.dzcdn.net/images/artist/f6ae30d19f7e865c79b070de2087bd96/250x250-000000-80-0-0.jpg,0.403,alt-rock
FALSE,116,4344192,Gunna,968626612,COOLER THAN A BITCH (feat. Roddy Ricch),https://www.deezer.com/track/968626612?utm_source=deezer&utm_content=track-968626612&utm_term=0_1702975249&utm_medium=web,197,444251,TRUE,1,2,https://cdns-preview-a.dzcdn.net/stream/c-a1d254186cdf23bb34e4911d6d064932-3.mp3,0,-10.2,https://e-cdns-images.dzcdn.net/images/artist/f6ae30d19f7e865c79b070de2087bd96/250x250-000000-80-0-0.jpg,0.562,alt-rock
FALSE,116,4344192,Gunna,1032146602,BLINDFOLD (feat. Lil Baby),https://www.deezer.com/track/1032146602?utm_source=deezer&utm_content=track-1032146602&utm_term=0_1702975249&utm_medium=web,154,413388,TRUE,1,2,https://cdns-preview-b.dzcdn.net/stream/c-b47216d376a2d02f165956eb9eccb653-3.mp3,0,-10.9,https://e-cdns-images.dzcdn.net/images/artist/f6ae30d19f7e865c79b070de2087bd96/250x250-000000-80-0-0.jpg,0.499,alt-rock
